"State","Year","personal_health_care"
"Connecticut",2000,5.166
"Connecticut",2001,5.541
"Connecticut",2002,5.933
"Connecticut",2003,6.217
"Connecticut",2004,6.714
"Connecticut",2005,6.988
"Connecticut",2006,7.391
"Connecticut",2007,7.799
"Connecticut",2008,8.195
"Connecticut",2009,8.721
"Connecticut",2010,8.831
"Connecticut",2011,8.91
"Connecticut",2012,9.229
"Connecticut",2013,9.44
"Connecticut",2014,9.831
"Connecticut",2015,10.294
"Connecticut",2016,10.705
"Connecticut",2017,10.989
"Connecticut",2018,11.378
"Connecticut",2019,11.831
"Connecticut",2020,12.489
"Maine",2000,4.638
"Maine",2001,5.049
"Maine",2002,5.492
"Maine",2003,6.002
"Maine",2004,6.471
"Maine",2005,6.875
"Maine",2006,7.295
"Maine",2007,7.637
"Maine",2008,7.924
"Maine",2009,8.192
"Maine",2010,8.342
"Maine",2011,8.584
"Maine",2012,8.753
"Maine",2013,8.813
"Maine",2014,9.115
"Maine",2015,9.591
"Maine",2016,10.018
"Maine",2017,10.399
"Maine",2018,10.95
"Maine",2019,11.488
"Maine",2020,12.077
"Massachusetts",2000,5.171
"Massachusetts",2001,5.608
"Massachusetts",2002,6.118
"Massachusetts",2003,6.599
"Massachusetts",2004,7.012
"Massachusetts",2005,7.479
"Massachusetts",2006,8.055
"Massachusetts",2007,8.617
"Massachusetts",2008,8.974
"Massachusetts",2009,9.361
"Massachusetts",2010,9.533
"Massachusetts",2011,9.72
"Massachusetts",2012,9.952
"Massachusetts",2013,10.085
"Massachusetts",2014,10.394
"Massachusetts",2015,11.01
"Massachusetts",2016,11.49
"Massachusetts",2017,11.746
"Massachusetts",2018,12.215
"Massachusetts",2019,12.729
"Massachusetts",2020,13.319
"New Hampshire",2000,4.236
"New Hampshire",2001,4.52
"New Hampshire",2002,4.827
"New Hampshire",2003,5.24
"New Hampshire",2004,5.733
"New Hampshire",2005,6.285
"New Hampshire",2006,6.763
"New Hampshire",2007,7.227
"New Hampshire",2008,7.583
"New Hampshire",2009,8.129
"New Hampshire",2010,8.445
"New Hampshire",2011,8.717
"New Hampshire",2012,8.96
"New Hampshire",2013,9.186
"New Hampshire",2014,9.367
"New Hampshire",2015,9.763
"New Hampshire",2016,10.157
"New Hampshire",2017,10.573
"New Hampshire",2018,10.974
"New Hampshire",2019,11.31
"New Hampshire",2020,11.793
"Rhode Island",2000,4.772
"Rhode Island",2001,5.141
"Rhode Island",2002,5.564
"Rhode Island",2003,5.992
"Rhode Island",2004,6.446
"Rhode Island",2005,6.986
"Rhode Island",2006,7.326
"Rhode Island",2007,7.717
"Rhode Island",2008,8.048
"Rhode Island",2009,8.343
"Rhode Island",2010,8.46
"Rhode Island",2011,8.665
"Rhode Island",2012,8.859
"Rhode Island",2013,9.016
"Rhode Island",2014,9.484
"Rhode Island",2015,9.914
"Rhode Island",2016,10.159
"Rhode Island",2017,10.29
"Rhode Island",2018,10.464
"Rhode Island",2019,10.988
"Rhode Island",2020,11.694
"Vermont",2000,4.398
"Vermont",2001,4.792
"Vermont",2002,5.26
"Vermont",2003,5.84
"Vermont",2004,6.233
"Vermont",2005,6.665
"Vermont",2006,7.304
"Vermont",2007,7.654
"Vermont",2008,7.972
"Vermont",2009,8.464
"Vermont",2010,8.85
"Vermont",2011,9.209
"Vermont",2012,9.679
"Vermont",2013,10.247
"Vermont",2014,10.589
"Vermont",2015,11.01
"Vermont",2016,11.246
"Vermont",2017,11.521
"Vermont",2018,11.797
"Vermont",2019,12.159
"Vermont",2020,12.756
"Delaware",2000,4.752
"Delaware",2001,5.062
"Delaware",2002,5.518
"Delaware",2003,6.144
"Delaware",2004,6.577
"Delaware",2005,6.946
"Delaware",2006,7.301
"Delaware",2007,7.721
"Delaware",2008,8.107
"Delaware",2009,8.385
"Delaware",2010,8.802
"Delaware",2011,9.202
"Delaware",2012,9.446
"Delaware",2013,9.768
"Delaware",2014,10.263
"Delaware",2015,10.714
"Delaware",2016,10.933
"Delaware",2017,11.444
"Delaware",2018,11.771
"Delaware",2019,12.213
"Delaware",2020,12.899
"District of Columbia",2000,6.292
"District of Columbia",2001,6.637
"District of Columbia",2002,7.167
"District of Columbia",2003,7.646
"District of Columbia",2004,8.359
"District of Columbia",2005,8.908
"District of Columbia",2006,9.251
"District of Columbia",2007,9.851
"District of Columbia",2008,10.223
"District of Columbia",2009,10.701
"District of Columbia",2010,11.112
"District of Columbia",2011,11.537
"District of Columbia",2012,11.426
"District of Columbia",2013,11.583
"District of Columbia",2014,11.975
"District of Columbia",2015,12.5
"District of Columbia",2016,12.851
"District of Columbia",2017,13.131
"District of Columbia",2018,13.487
"District of Columbia",2019,13.934
"District of Columbia",2020,14.381
"Maryland",2000,4.227
"Maryland",2001,4.592
"Maryland",2002,4.986
"Maryland",2003,5.385
"Maryland",2004,5.724
"Maryland",2005,6.075
"Maryland",2006,6.56
"Maryland",2007,6.945
"Maryland",2008,7.226
"Maryland",2009,7.518
"Maryland",2010,7.744
"Maryland",2011,7.928
"Maryland",2012,8.11
"Maryland",2013,8.217
"Maryland",2014,8.574
"Maryland",2015,9.001
"Maryland",2016,9.321
"Maryland",2017,9.592
"Maryland",2018,9.934
"Maryland",2019,10.248
"Maryland",2020,10.839
"New Jersey",2000,4.732
"New Jersey",2001,4.99
"New Jersey",2002,5.405
"New Jersey",2003,5.698
"New Jersey",2004,6.007
"New Jersey",2005,6.457
"New Jersey",2006,6.76
"New Jersey",2007,7.138
"New Jersey",2008,7.353
"New Jersey",2009,7.756
"New Jersey",2010,7.815
"New Jersey",2011,7.97
"New Jersey",2012,8.337
"New Jersey",2013,8.534
"New Jersey",2014,9.008
"New Jersey",2015,9.483
"New Jersey",2016,9.979
"New Jersey",2017,10.34
"New Jersey",2018,10.665
"New Jersey",2019,11.264
"New Jersey",2020,11.868
"New York",2000,5.024
"New York",2001,5.419
"New York",2002,5.828
"New York",2003,6.331
"New York",2004,6.72
"New York",2005,7.051
"New York",2006,7.485
"New York",2007,7.841
"New York",2008,8.059
"New York",2009,8.506
"New York",2010,8.759
"New York",2011,8.991
"New York",2012,9.085
"New York",2013,9.371
"New York",2014,9.805
"New York",2015,10.305
"New York",2016,10.927
"New York",2017,11.558
"New York",2018,12.098
"New York",2019,12.932
"New York",2020,14.007
"Pennsylvania",2000,4.702
"Pennsylvania",2001,5.056
"Pennsylvania",2002,5.389
"Pennsylvania",2003,5.791
"Pennsylvania",2004,6.166
"Pennsylvania",2005,6.572
"Pennsylvania",2006,6.868
"Pennsylvania",2007,7.239
"Pennsylvania",2008,7.457
"Pennsylvania",2009,7.655
"Pennsylvania",2010,8.069
"Pennsylvania",2011,8.371
"Pennsylvania",2012,8.577
"Pennsylvania",2013,8.802
"Pennsylvania",2014,9.142
"Pennsylvania",2015,9.562
"Pennsylvania",2016,9.98
"Pennsylvania",2017,10.342
"Pennsylvania",2018,10.91
"Pennsylvania",2019,11.175
"Pennsylvania",2020,11.603
"Illinois",2000,4.166
"Illinois",2001,4.448
"Illinois",2002,4.786
"Illinois",2003,5.077
"Illinois",2004,5.344
"Illinois",2005,5.679
"Illinois",2006,6.042
"Illinois",2007,6.467
"Illinois",2008,6.629
"Illinois",2009,6.859
"Illinois",2010,7.159
"Illinois",2011,7.3
"Illinois",2012,7.505
"Illinois",2013,7.695
"Illinois",2014,8.017
"Illinois",2015,8.3
"Illinois",2016,8.63
"Illinois",2017,8.849
"Illinois",2018,9.118
"Illinois",2019,9.496
"Illinois",2020,10.19
"Indiana",2000,4.018
"Indiana",2001,4.335
"Indiana",2002,4.664
"Indiana",2003,5.03
"Indiana",2004,5.394
"Indiana",2005,5.638
"Indiana",2006,5.996
"Indiana",2007,6.296
"Indiana",2008,6.38
"Indiana",2009,6.71
"Indiana",2010,6.859
