"Year","State","AVG_AGE"
2014,"Alabama",38.6857223103091
2015,"Alabama",38.8032928316834
2016,"Alabama",38.9851471223243
2017,"Alabama",39.1763839231041
2018,"Alabama",39.3727410154646
2019,"Alabama",39.602828365644
2020,"Alabama",39.6635282569617
2014,"Alaska",34.8970466872621
2015,"Alaska",34.825539792425
2016,"Alaska",35.1056188619938
2017,"Alaska",35.5914030238106
2018,"Alaska",36.0610925935468
2019,"Alaska",36.4039232036307
2020,"Alaska",36.6901200494094
2014,"Arizona",37.9969185100938
2015,"Arizona",38.3191246714845
2016,"Arizona",38.5478682875994
2017,"Arizona",38.6895140865446
2018,"Arizona",38.9978384320698
2019,"Arizona",39.2382775700718
2020,"Arizona",39.5666231761401
2014,"Arkansas",38.3187823227656
2015,"Arkansas",38.4466131265689
2016,"Arkansas",38.5237266117136
2017,"Arkansas",38.6475869917541
2018,"Arkansas",38.765450216917
2019,"Arkansas",39.1118551768107
2020,"Arkansas",39.2179983302757
2014,"California",36.9808229882095
2015,"California",37.2437464136377
2016,"California",37.4477205194586
2017,"California",37.651116572766
2018,"California",37.8596239683728
2019,"California",38.1221088218701
2020,"California",38.3951634593465
2014,"Colorado",37.1873801547686
2015,"Colorado",37.3047897820134
2016,"Colorado",37.5256625476375
2017,"Colorado",37.7888923685706
2018,"Colorado",37.9398382671145
2019,"Colorado",38.2304755765849
2020,"Colorado",38.5006067166289
2014,"Connecticut",39.6667262587105
2015,"Connecticut",39.84178361552
2016,"Connecticut",40.0867356810604
2017,"Connecticut",40.3835243677582
2018,"Connecticut",40.562907241513
2019,"Connecticut",40.7061198719766
2020,"Connecticut",40.9351915020492
2014,"Delaware",39.2664410750587
2015,"Delaware",39.6424739992431
2016,"Delaware",40.0124718375321
2017,"Delaware",40.2927493323381
2018,"Delaware",40.696550041306
2019,"Delaware",40.9493111267206
2020,"Delaware",41.3734079419894
2014,"District of Columbia",36.5852968539657
2015,"District of Columbia",36.4452968338123
2016,"District of Columbia",36.5089331591233
2017,"District of Columbia",36.612596761829
2018,"District of Columbia",36.6371753350748
2019,"District of Columbia",36.7484091369595
2020,"District of Columbia",37.3086251086748
2014,"Florida",40.9893234892135
2015,"Florida",41.1817167664664
2016,"Florida",41.3991682401098
2017,"Florida",41.5211612435905
2018,"Florida",41.7298948206105
2019,"Florida",41.9713168570786
2020,"Florida",42.2385587778593
2014,"Georgia",36.5693711702177
2015,"Georgia",36.763440908637
2016,"Georgia",36.9994499712959
2017,"Georgia",37.2536890259717
2018,"Georgia",37.4479614239304
2019,"Georgia",37.7066932343187
2020,"Georgia",37.9612635037466
2014,"Hawaii",39.0283728561154
2015,"Hawaii",39.0553470480294
2016,"Hawaii",39.5690700476075
2017,"Hawaii",39.8299428806799
2018,"Hawaii",40.1532195557733
2019,"Hawaii",40.3952256983682
2020,"Hawaii",40.6246831119437
2014,"Idaho",36.8965422303581
2015,"Idaho",37.0581861468461
2016,"Idaho",37.2724788193496
2017,"Idaho",37.4738800297971
2018,"Idaho",37.7563008491581
2019,"Idaho",37.8987915940383
2020,"Idaho",38.1505864390011
2014,"Illinois",37.9483544219282
2015,"Illinois",38.1517433715954
2016,"Illinois",38.4028378931627
2017,"Illinois",38.6290112898563
2018,"Illinois",38.8499069152694
2019,"Illinois",39.0759293395953
2020,"Illinois",39.3225888180784
2014,"Indiana",37.8319714470001
2015,"Indiana",37.9817673966113
2016,"Indiana",38.1438126606255
2017,"Indiana",38.2944451160959
2018,"Indiana",38.4704186179126
2019,"Indiana",38.6073980956353
2020,"Indiana",38.7624069880202
2014,"Iowa",38.7285436766967
2015,"Iowa",38.8382931074276
2016,"Iowa",38.9166683946402
2017,"Iowa",38.9035073469877
2018,"Iowa",39.0717850415618
2019,"Iowa",39.3257312832996
2020,"Iowa",39.3520049684938
2014,"Kansas",37.3770585681026
2015,"Kansas",37.6230829968392
2016,"Kansas",37.6949677173477
2017,"Kansas",37.9480354931803
2018,"Kansas",38.1432143458206
2019,"Kansas",38.3241339587837
2020,"Kansas",38.709875218539
2014,"Kentucky",38.4622988283334
2015,"Kentucky",38.7095588069129
2016,"Kentucky",38.7169789590834
2017,"Kentucky",38.8662077428686
2018,"Kentucky",39.087589925884
2019,"Kentucky",39.3326105111095
2020,"Kentucky",39.334291260696
2014,"Louisiana",37.2342952498196
2015,"Louisiana",37.4825380390706
2016,"Louisiana",37.6594725040189
2017,"Louisiana",37.8857544926887
2018,"Louisiana",38.1654739571732
2019,"Louisiana",38.4417668324301
2020,"Louisiana",38.676097389696
2014,"Maine",41.8392212851922
2015,"Maine",42.1943989745195
2016,"Maine",42.1191922666448
2017,"Maine",42.4253207745749
2018,"Maine",42.9805230707619
2019,"Maine",43.0632601107563
2020,"Maine",43.2798699447978
2014,"Maryland",38.2191478927054
2015,"Maryland",38.3805220463968
2016,"Maryland",38.6251056479015
2017,"Maryland",38.8591163146749
2018,"Maryland",39.038416818392
2019,"Maryland",39.302797700176
2020,"Maryland",39.3959479186537
2014,"Massachusetts",39.2887789737848
2015,"Massachusetts",39.4469083610055
2016,"Massachusetts",39.6220403016199
2017,"Massachusetts",39.7908519160637
2018,"Massachusetts",39.9276386924337
2019,"Massachusetts",40.1641402259818
2020,"Massachusetts",40.3384328865403
2014,"Michigan",39.1438233794426
2015,"Michigan",39.2956051936513
2016,"Michigan",39.4762647180283
2017,"Michigan",39.6807271927166
2018,"Michigan",39.8320352864145
2019,"Michigan",40.0316018342908
2020,"Michigan",40.2303278960506
2014,"Minnesota",38.2059518728836
2015,"Minnesota",38.4075230335795
2016,"Minnesota",38.5695359307472
2017,"Minnesota",38.6352444479671
2018,"Minnesota",38.7861928838841
2019,"Minnesota",38.9886191155735
2020,"Minnesota",39.1400429097379
2014,"Mississippi",37.4348859866423
2015,"Mississippi",37.6301364186406
2016,"Mississippi",37.8350688554254
2017,"Mississippi",38.1201819644114
2018,"Mississippi",38.3148315938564
2019,"Mississippi",38.645412242465
2020,"Mississippi",38.9845102315683
2014,"Missouri",38.6424041932921
2015,"Missouri",38.7983398842015
2016,"Missouri",38.9554967996061
2017,"Missouri",39.1042570808495
2018,"Missouri",39.3825915880839
2019,"Missouri",39.5048054331554
2020,"Missouri",39.5559431818993
2014,"Montana",39.6451929943854
2015,"Montana",39.9191654186218
2016,"Montana",40.0234978705445
2017,"Montana",40.0906831363941
2018,"Montana",40.5838417403665
2019,"Montana",40.588885624517
2020,"Montana",40.7566813277752
2014,"Nebraska",37.4186015116638
2015,"Nebraska",37.5146056038688
2016,"Nebraska",37.6831561373299
2017,"Nebraska",37.778760319904
2018,"Nebraska",37.9291394456343
2019,"Nebraska",38.0371591722119
2020,"Nebraska",38.3194700740068
2014,"Nevada",37.7946119525948
2015,"Nevada",38.0594006250767
2016,"Nevada",38.2295760831929
2017,"Nevada",38.4292632617521
2018,"Nevada",38.6559429368387
2019,"Nevada",38.8611843036522
2020,"Nevada",38.9793494146263
2014,"New Hampshire",40.4509881950207
2015,"New Hampshire",40.8289263254091
2016,"New Hampshire",41.059441562791
2017,"New Hampshire",41.3527098328486
2018,"New Hampshire",41.4588258712336
2019,"New Hampshire",41.702961143949
2020,"New Hampshire",42.140406883794
2014,"New Jersey",38.9105359874919
2015,"New Jersey",39.07707535142
2016,"New Jersey",39.24241316058
2017,"New Jersey",39.4568843716229
2018,"New Jersey",39.6786964613651
2019,"New Jersey",39.9024096534751
2020,"New Jersey",40.033583195105
2014,"New Mexico",37.9946259347555
2015,"New Mexico",38.2439762141931
2016,"New Mexico",38.6327354680288
2017,"New Mexico",38.7019678459055
2018,"New Mexico",39.1948251144874
2019,"New Mexico",39.4141615744536
2020,"New Mexico",39.9112358818925
2014,"New York",38.6977667176621
2015,"New York",38.8628090183413
2016,"New York",39.0569346440055
2017,"New York",39.347849725828
2018,"New York",39.6216608368071
2019,"New York",39.8645752312392
2020,"New York",40.109384226066
2014,"North Carolina",38.2079752098861
2015,"North Carolina",38.4266911764267
2016,"North Carolina",38.6922447773621
2017,"North Carolina",38.8613637777258
2018,"North Carolina",39.1011949589835
2019,"North Carolina",39.2897571186501
2020,"North Carolina",39.5036357946646
2014,"North Dakota",37.3528794480461
2015,"North Dakota",37.4182537837152
2016,"North Dakota",37.5193369509719
2017,"North Dakota",37.7501671315461
2018,"North Dakota",37.7146578570329
2019,"North Dakota",37.612446231409
2020,"North Dakota",37.3496724522717
2014,"Ohio",39.0551361922374
2015,"Ohio",39.216117676933
2016,"Ohio",39.3522673156786
2017,"Ohio",39.4711291029659
2018,"Ohio",39.648442500506
