"Year","State","bachelors_percent"
2011,"Alabama",15.5871648267447
2012,"Alabama",16.2862765275072
2013,"Alabama",16.5050451805048
2014,"Alabama",16.1479711723795
2015,"Alabama",16.9096017908289
2016,"Alabama",17.5159870869574
2017,"Alabama",18.0442595277252
2018,"Alabama",18.0177832025436
2019,"Alabama",18.7427151943074
2020,"Alabama",19.9173496134105
2011,"Alaska",16.9346826839791
2012,"Alaska",18.7664485152075
2013,"Alaska",18.7853337903941
2014,"Alaska",19.559758501056
2015,"Alaska",18.6405789564916
2016,"Alaska",19.7547088937234
2017,"Alaska",19.4607965720233
2018,"Alaska",20.356965602532
2019,"Alaska",20.9786137558182
2020,"Alaska",21.5763584828666
2011,"Arizona",17.7474140012233
2012,"Arizona",18.6901928888774
2013,"Arizona",18.7801661902048
2014,"Arizona",18.7482581849708
2015,"Arizona",19.273688812277
2016,"Arizona",19.9515053301286
2017,"Arizona",20.2737066846059
2018,"Arizona",20.81989267178
2019,"Arizona",21.4439989904814
2020,"Arizona",23.7042905873345
2011,"Arkansas",14.1277388299916
2012,"Arkansas",14.6343109207424
2013,"Arkansas",14.3226622666355
2014,"Arkansas",14.9656364397012
2015,"Arkansas",15.0117990574185
2016,"Arkansas",15.4828180258131
2017,"Arkansas",16.4365227064464
2018,"Arkansas",16.3937521256211
2019,"Arkansas",16.5078315225243
2020,"Arkansas",17.6157568478889
2011,"California",20.5488779661801
2012,"California",21.1184253588785
2013,"California",21.3630248842752
2014,"California",21.9469441401972
2015,"California",22.4763798876265
2016,"California",23.0899721648528
2017,"California",23.7677933941449
2018,"California",24.3887858660828
2019,"California",24.9605444877146
2020,"California",26.6520892927469
2011,"Colorado",25.4172923837495
2012,"Colorado",26.0385474388646
2013,"Colorado",26.2348465852891
2014,"Colorado",26.591329954857
2015,"Colorado",27.6337680016802
2016,"Colorado",28.1239300465929
2017,"Colorado",29.3449225756953
2018,"Colorado",30.1182990832866
2019,"Colorado",30.8488529427291
2020,"Colorado",32.226494901512
2011,"Connecticut",25.9177721507109
2012,"Connecticut",26.6426058539746
2013,"Connecticut",27.0439478543303
2014,"Connecticut",27.4904307503843
2015,"Connecticut",27.8129687213685
2016,"Connecticut",28.4001015531594
2017,"Connecticut",28.3897369811582
2018,"Connecticut",29.2589985347073
2019,"Connecticut",29.6865862411638
2020,"Connecticut",31.6357814129225
2011,"Delaware",19.9896377055234
2012,"Delaware",21.1196913722942
2013,"Delaware",21.494163104686
2014,"Delaware",21.4902726979288
2015,"Delaware",22.5861423735694
2016,"Delaware",23.0120842589529
2017,"Delaware",23.1841104269605
2018,"Delaware",22.6683802554047
2019,"Delaware",24.8188472771637
2020,"Delaware",25.3645435170972
2011,"District of Columbia",39.6785739713526
2012,"District of Columbia",40.5971315292975
2013,"District of Columbia",41.4335856347523
2014,"District of Columbia",41.7538204230429
2015,"District of Columbia",43.1030840726658
2016,"District of Columbia",42.971358104438
2017,"District of Columbia",43.2654343402904
2018,"District of Columbia",45.7414353944381
2019,"District of Columbia",45.3097347640592
2020,"District of Columbia",48.670356904942
2011,"Florida",18.7272209606045
2012,"Florida",19.4597684346187
2013,"Florida",19.8455162058134
2014,"Florida",20.0117707989782
2015,"Florida",21.0419208029965
2016,"Florida",21.178983234347
2017,"Florida",21.9435628371552
2018,"Florida",22.6737889581008
2019,"Florida",23.0132532119189
2020,"Florida",25.388765439219
2011,"Georgia",18.5134907964272
2012,"Georgia",19.0448132524928
2013,"Georgia",19.2757286782737
2014,"Georgia",19.7486110950178
2015,"Georgia",20.290645197291
2016,"Georgia",21.009282789145
2017,"Georgia",21.3725285081691
2018,"Georgia",22.2396745084712
2019,"Georgia",22.6013977214622
2020,"Georgia",24.4386165561005
2011,"Hawaii",20.9115441406449
2012,"Hawaii",21.3993548864372
2013,"Hawaii",22.3630287723976
2014,"Hawaii",22.4467282490855
2015,"Hawaii",22.5001624053596
2016,"Hawaii",23.9704821018692
2017,"Hawaii",23.6949909564579
2018,"Hawaii",24.2609069680836
2019,"Hawaii",23.9790743796049
2020,"Hawaii",25.7798109110327
2011,"Idaho",16.6469714224425
2012,"Idaho",16.9450557989833
2013,"Idaho",17.4540485418104
2014,"Idaho",16.5832346261527
2015,"Idaho",16.9200509991359
2016,"Idaho",18.2420951317181
2017,"Idaho",18.0031602679879
2018,"Idaho",18.5179294587643
2019,"Idaho",19.7799184696695
2020,"Idaho",21.3659176726009
2011,"Illinois",21.6798729437336
2012,"Illinois",22.0766268318569
2013,"Illinois",22.7188738512677
2014,"Illinois",23.4730501266247
2015,"Illinois",23.4702035265177
2016,"Illinois",24.254872793029
2017,"Illinois",24.5713900060951
2018,"Illinois",25.3996756946821
2019,"Illinois",26.1342312205957
2020,"Illinois",27.3862559371895
2011,"Indiana",15.6543073555277
2012,"Indiana",16.1428496692994
2013,"Indiana",16.4638279493439
2014,"Indiana",17.2093520321426
2015,"Indiana",17.4872803519203
2016,"Indiana",18.0449937607916
2017,"Indiana",18.8660617403985
2018,"Indiana",18.9581310358617
2019,"Indiana",19.1393357821544
2020,"Indiana",20.5743454134123
2011,"Iowa",18.003245263623
2012,"Iowa",18.8970999152296
2013,"Iowa",18.380373386625
2014,"Iowa",19.4677332042537
2015,"Iowa",19.0758408002307
2016,"Iowa",20.4373761641092
2017,"Iowa",20.6454756969092
2018,"Iowa",20.3302763339454
2019,"Iowa",20.92780825782
2020,"Iowa",21.0649487852986
2011,"Kansas",20.5294719559995
2012,"Kansas",20.329463374574
2013,"Kansas",21.064238342173
2014,"Kansas",21.4581781605574
2015,"Kansas",21.6105625659207
2016,"Kansas",22.6145732330016
2017,"Kansas",23.3341674896666
2018,"Kansas",23.0650761975745
2019,"Kansas",22.7821649159686
2020,"Kansas",24.687874944294
2011,"Kentucky",14.4840109160252
2012,"Kentucky",15.1999068581402
2013,"Kentucky",15.908761527952
2014,"Kentucky",16.065320224033
2015,"Kentucky",16.2432329090559
2016,"Kentucky",16.5915779538037
2017,"Kentucky",17.0395328981325
2018,"Kentucky",17.9879070862469
2019,"Kentucky",18.1953558373677
2020,"Kentucky",19.581097009243
2011,"Louisiana",14.3922973413692
2012,"Louisiana",15.3068748013046
2013,"Louisiana",15.6128998782826
2014,"Louisiana",15.8000471430698
2015,"Louisiana",16.1581373679969
2016,"Louisiana",16.1832988513064
2017,"Louisiana",16.7161472081511
2018,"Louisiana",17.0057669800158
2019,"Louisiana",17.6729276453205
2020,"Louisiana",19.5207727818196
2011,"Maine",21.2190593500318
2012,"Maine",20.6885085074241
2013,"Maine",20.7881189669217
2014,"Maine",22.3063268698561
2015,"Maine",22.8981109252194
2016,"Maine",23.0990500037928
2017,"Maine",24.6702053361499
2018,"Maine",23.5471501878357
2019,"Maine",25.2292793101088
2020,"Maine",25.9766140645626
2011,"Maryland",26.0471984144918
2012,"Maryland",26.2399263972533
2013,"Maryland",26.4955857950679
2014,"Maryland",27.1787714591727
2015,"Maryland",27.9566082917208
2016,"Maryland",28.1436036916805
2017,"Maryland",28.7393445366849
2018,"Maryland",29.4745179238879
2019,"Maryland",29.7077417263236
2020,"Maryland",31.5790022731608
2011,"Massachusetts",28.20021021517
2012,"Massachusetts",28.6062865926468
2013,"Massachusetts",29.2675707593685
2014,"Massachusetts",30.3971976194768
2015,"Massachusetts",30.6828601461611
2016,"Massachusetts",31.5411813323331
2017,"Massachusetts",32.3023391725059
2018,"Massachusetts",33.0587058004864
2019,"Massachusetts",33.5848529917216
2020,"Massachusetts",35.1011097798762
2011,"Michigan",18.0799229500211
2012,"Michigan",18.4625066778909
2013,"Michigan",19.0315980137479
2014,"Michigan",19.5054388666983
2015,"Michigan",19.9819280799663
2016,"Michigan",20.154054571276
2017,"Michigan",20.940552849635
2018,"Michigan",21.410306110046
2019,"Michigan",21.947445527657
2020,"Michigan",23.4975845256123
2011,"Minnesota",22.925965707995
2012,"Minnesota",23.0962984968412
