"State","Year","methadone_rate"
"Alabama",2020,0.548609660569107
"Alabama",2019,0.673031917009046
"Alabama",2018,0.716058177476451
"Alabama",2017,0.67695820931835
"Alabama",2016,0.71967594020521
"Alabama",2015,0.884959576898768
"Alabama",2014,0.948575456187465
"Alabama",2013,0.910271629191749
"Alabama",2012,1.18207648532576
"Alabama",2011,1.33257265644195
"Alabama",2010,1.65281095022821
"Alabama",2009,1.8705582124021
"Alabama",2008,2.24661661656994
"Alabama",2007,1.92602357452855
"Alabama",2006,1.49060884026096
"Alabama",2005,1.07225581835549
"Alabama",2004,1.12564666745683
"Alabama",2003,0.621739890231822
"Alabama",2002,0.803555465081162
"Alabama",2001,0.693879579213517
"Alabama",2000,0.292325335611972
"Alaska",2020,1.91375786862052
"Alaska",2019,1.91375786862052
"Alaska",2018,1.76286006416811
"Alaska",2017,2.02714626647872
"Alaska",2016,2.29143246878934
"Alaska",2015,1.35422083550009
"Alaska",2014,1.62881482004311
"Alaska",2013,1.49798206799497
"Alaska",2012,1.36714931594684
"Alaska",2011,2.49059799257802
"Alaska",2010,3.94237931039338
"Alaska",2009,3.00474320176851
"Alaska",2008,4.36392200216741
"Alaska",2007,2.99641142474601
"Alaska",2006,1.6289008473246
"Alaska",2005,1.6289008473246
"Alaska",2004,1.6289008473246
"Alaska",2003,1.6289008473246
"Alaska",2002,1.6289008473246
"Alaska",2001,1.6289008473246
"Alaska",2000,1.6289008473246
"Arizona",2020,1.15881084986514
"Arizona",2019,1.05787874428969
"Arizona",2018,0.934234623404446
"Arizona",2017,1.1972173248749
"Arizona",2016,1.15422277451782
"Arizona",2015,1.12769869648283
"Arizona",2014,0.980467308545931
"Arizona",2013,0.995982267893878
"Arizona",2012,0.808758395636977
"Arizona",2011,0.910141989863486
"Arizona",2010,1.70525203546862
"Arizona",2009,1.71838804481178
"Arizona",2008,1.48080636116198
"Arizona",2007,1.42679233896824
"Arizona",2006,1.55909440499069
"Arizona",2005,1.55846549035062
"Arizona",2004,1.23841112560249
"Arizona",2003,1.28848112393301
"Arizona",2002,1.13041359238954
"Arizona",2001,0.549921806807918
"Arizona",2000,0.350833971331407
"Arkansas",2020,0.527961849476757
"Arkansas",2019,0.563323529294812
"Arkansas",2018,0.564067256725258
"Arkansas",2017,0.665717132130538
"Arkansas",2016,1.07086158846254
"Arkansas",2015,1.2759367726321
"Arkansas",2014,1.01133742969941
"Arkansas",2013,1.48680142719421
"Arkansas",2012,1.45805662752858
"Arkansas",2011,2.04222017924566
"Arkansas",2010,1.92049296310802
"Arkansas",2009,2.51998468677799
"Arkansas",2008,3.37443652128295
"Arkansas",2007,2.38709564179524
"Arkansas",2006,2.58703696025283
"Arkansas",2005,1.90572281369546
"Arkansas",2004,1.96386060081042
"Arkansas",2003,1.43128930540631
"Arkansas",2002,1.2934569188304
"Arkansas",2001,1.2934569188304
"Arkansas",2000,1.2934569188304
"California",2020,0.713776273253675
"California",2019,0.56691318025817
"California",2018,0.631998674319581
"California",2017,0.70061570462224
"California",2016,0.764330879143314
"California",2015,0.776603431902532
"California",2014,0.92519811867792
"California",2013,0.965237845953309
"California",2012,0.988396072387394
"California",2011,1.14082830289957
"California",2010,1.30187516192911
"California",2009,1.21208090780748
"California",2008,0.975294266359749
"California",2007,0.90206122645403
"California",2006,0.793976836197748
"California",2005,0.63916591583279
"California",2004,0.638096150464309
"California",2003,0.456696660858109
"California",2002,0.361323030732847
"California",2001,0.118911381959658
"California",2000,0.165330012876846
"Colorado",2020,1.2052924736889
"Colorado",2019,0.694596869868666
"Colorado",2018,1.01833637546694
"Colorado",2017,1.07006156777574
"Colorado",2016,1.08292595764496
"Colorado",2015,0.659754637250407
"Colorado",2014,0.97089807698699
"Colorado",2013,0.816192190103689
"Colorado",2012,0.867456167439859
"Colorado",2011,1.1921522765418
"Colorado",2010,1.01407859228394
"Colorado",2009,1.20671051718607
"Colorado",2008,1.02255134741591
"Colorado",2007,1.24899351938896
"Colorado",2006,1.33462615532549
"Colorado",2005,1.18742076665066
"Colorado",2004,0.874314455499908
"Colorado",2003,0.706599551485935
"Colorado",2002,0.601281933081329
"Colorado",2001,0.474502602646776
"Colorado",2000,0.395232932853877
