"State","Year","poverty_rate"
"Alabama",2020,"14.9"
"Alaska",2020,"13.4"
"Arizona",2020,"10.9"
"Arkansas",2020,"14.1"
"California",2020,"11.1"
"Colorado",2020,"9.5"
"Connecticut",2020,"11.2"
"Delaware",2020,"10.5"
"District of Columbia",2020,"16.8"
"Florida",2020,"13.3"
"Georgia",2020,"13.3"
"Hawaii",2020,"10.9"
"Idaho",2020,"9.1"
"Illinois",2020,"8"
"Indiana",2020,"12.1"
"Iowa",2020,"9.1999999999999993"
"Kansas",2020,"9.3000000000000007"
"Kentucky",2020,"13.9"
"Louisiana",2020,"15.5"
"Maine",2020,"8"
"Maryland",2020,"9.4"
"Massachusetts",2020,"8.4"
"Michigan",2020,"11.2"
"Minnesota",2020,"8.5"
"Mississippi",2020,"17.600000000000001"
"Missouri",2020,"10.7"
"Montana",2020,"10.9"
"Nebraska",2020,"8.3000000000000007"
"Nevada",2020,"12.9"
"New Hampshire",2020,"6.2"
"New Jersey",2020,"8.1999999999999993"
"New Mexico",2020,"16.600000000000001"
"New York",2020,"11.8"
"North Carolina",2020,"13.8"
"North Dakota",2020,"10.7"
"Ohio",2020,"12.7"
"Oklahoma",2020,"15.5"
"Oregon",2020,"9.4"
"Pennsylvania",2020,"10.7"
"Rhode Island",2020,"8.5"
"South Carolina",2020,"13.4"
"South Dakota",2020,"11.6"
"Tennessee",2020,"13.1"
"Texas",2020,"14"
"Utah",2020,"7.4"
"Vermont",2020,"8.6"
"Virginia",2020,"7.8"
"Washington",2020,"8.1999999999999993"
"West Virginia",2020,"14.2"
"Wisconsin",2020,"8"
"Wyoming",2020,"9.6999999999999993"
"Alabama",2019,"12.9"
"Alaska",2019,"10.199999999999999"
"Arizona",2019,"9.9"
"Arkansas",2019,"14.1"
"California",2019,"10.1"
"Colorado",2019,"9.3000000000000007"
"Connecticut",2019,"8.3000000000000007"
"Delaware",2019,"6.5"
"District of Columbia",2019,"12.5"
"Florida",2019,"11.5"
"Georgia",2019,"12.1"
"Hawaii",2019,"8.4"
"Idaho",2019,"7.1"
"Illinois",2019,"9.3000000000000007"
"Indiana",2019,"10.1"
"Iowa",2019,"9.5"
"Kansas",2019,"9.5"
"Kentucky",2019,"13.6"
"Louisiana",2019,"17.899999999999999"
"Maine",2019,"10.4"
"Maryland",2019,"7"
"Massachusetts",2019,"7.5"
"Michigan",2019,"10.199999999999999"
"Minnesota",2019,"5.7"
"Mississippi",2019,"19.2"
"Missouri",2019,"9.4"
"Montana",2019,"9.6999999999999993"
"Nebraska",2019,"8.6999999999999993"
"Nevada",2019,"10.4"
"New Hampshire",2019,"3.7"
"New Jersey",2019,"6.3"
"New Mexico",2019,"15.3"
"New York",2019,"12.5"
"North Carolina",2019,"12.7"
"North Dakota",2019,"8.1"
"Ohio",2019,"12.4"
"Oklahoma",2019,"10.8"
"Oregon",2019,"8.1"
"Pennsylvania",2019,"8.6999999999999993"
"Rhode Island",2019,"9.1999999999999993"
"South Carolina",2019,"15.1"
"South Dakota",2019,"10.6"
"Tennessee",2019,"13.1"
"Texas",2019,"11.1"
"Utah",2019,"7.3"
"Vermont",2019,"8.6"
"Virginia",2019,"8.8000000000000007"
"Washington",2019,"7"
"West Virginia",2019,"13.9"
"Wisconsin",2019,"8.4"
"Wyoming",2019,"9.1999999999999993"
"Alabama",2018,"16"
"Alaska",2018,"13.1"
"Arizona",2018,"12.8"
"Arkansas",2018,"15.9"
"California",2018,"11.9"
"Colorado",2018,"9.1"
"Connecticut",2018,"10.199999999999999"
"Delaware",2018,"7.4"
"District of Columbia",2018,"14.7"
"Florida",2018,"13.7"
"Georgia",2018,"14.8"
"Hawaii",2018,"9.1999999999999993"
"Idaho",2018,"11.5"
"Illinois",2018,"10.3"
"Indiana",2018,"11.6"
