"Year","State","WHITE_PCT"
2011,"Alabama",69.1170040435252
2012,"Alabama",69.0504586975218
2013,"Alabama",69.0594121879578
2014,"Alabama",68.4434722233392
2015,"Alabama",68.6187365699667
2016,"Alabama",68.1022145456789
2017,"Alabama",67.8473159735264
2018,"Alabama",67.71242530746
2019,"Alabama",67.7912622101756
2020,"Alabama",65.1374469469066
2011,"Alaska",66.9564062331366
2012,"Alaska",66.159909986889
2013,"Alaska",66.3420991060109
2014,"Alaska",66.0500697675681
2015,"Alaska",65.6111869474779
2016,"Alaska",64.7809525349983
2017,"Alaska",63.8259247494238
2018,"Alaska",64.1888538426281
2019,"Alaska",65.1545701221388
2020,"Alaska",58.4253785664656
2011,"Arizona",79.3068883093804
2012,"Arizona",78.8689132347208
2013,"Arizona",79.0699909939058
2014,"Arizona",78.5477021114512
2015,"Arizona",77.5253164696001
2016,"Arizona",75.7683913496197
2017,"Arizona",77.4324106683466
2018,"Arizona",77.932220859758
2019,"Arizona",78.3419797747323
2020,"Arizona",60.6165635727006
2011,"Arkansas",78.3852437338728
2012,"Arkansas",78.529471902062
2013,"Arkansas",77.8182067620405
2014,"Arkansas",78.3776057530267
2015,"Arkansas",77.5025485158169
2016,"Arkansas",76.62985133764
2017,"Arkansas",76.3033659656776
2018,"Arkansas",76.4411005947591
2019,"Arkansas",76.7881877020509
2020,"Arkansas",70.895023864081
2011,"California",62.9093026641896
2012,"California",62.0714547271225
2013,"California",61.9982103446836
2014,"California",61.4388660524451
2015,"California",60.7815828904863
2016,"California",59.6236353222471
2017,"California",58.7516070214644
2018,"California",59.4658625284068
2019,"California",59.4690761894111
2020,"California",42.3089206709568
2011,"Colorado",84.4506210527056
2012,"Colorado",84.2658872669386
2013,"Colorado",83.7029766529173
2014,"Colorado",84.3651614883569
2015,"Colorado",84.4418127565025
2016,"Colorado",84.1925839425544
2017,"Colorado",84.1668161780468
2018,"Colorado",84.0013210280843
2019,"Colorado",83.887887897622
2020,"Colorado",71.8476244975628
2011,"Connecticut",77.6146567621105
2012,"Connecticut",78.0688329011096
2013,"Connecticut",77.3416053035528
2014,"Connecticut",76.872958010964
2015,"Connecticut",76.5777025502898
2016,"Connecticut",76.7318840012392
2017,"Connecticut",76.0805465940431
2018,"Connecticut",75.3627894023089
2019,"Connecticut",74.8905768315426
2020,"Connecticut",67.9812481786375
2011,"Delaware",70.1213160113985
2012,"Delaware",69.5225778874966
2013,"Delaware",69.0250813125372
2014,"Delaware",68.6351422702097
2015,"Delaware",69.6440766480537
2016,"Delaware",69.1928597312158
2017,"Delaware",68.7283705099804
2018,"Delaware",68.3528559065563
2019,"Delaware",67.6540722392695
2020,"Delaware",62.1827797165574
2011,"District of Columbia",39.9983171412113
2012,"District of Columbia",39.379241305472
2013,"District of Columbia",40.8831941885593
2014,"District of Columbia",39.8812857322813
2015,"District of Columbia",39.804054576721
2016,"District of Columbia",40.8478059808858
2017,"District of Columbia",41.2188099808061
2018,"District of Columbia",42.321429842481
2019,"District of Columbia",42.1209240112278
2020,"District of Columbia",38.5661420167783
2011,"Florida",76.2434368503556
2012,"Florida",76.3071521218406
2013,"Florida",76.1237895632659
2014,"Florida",75.9866803376032
2015,"Florida",75.7937045095148
2016,"Florida",75.4697345617372
2017,"Florida",75.1811297916548
2018,"Florida",74.6366938858391
2019,"Florida",74.5207793539887
2020,"Florida",58.5097909527086
2011,"Georgia",60.7504678962549
2012,"Georgia",60.5457086707638
2013,"Georgia",60.4233195862319
2014,"Georgia",59.8671353444168
2015,"Georgia",59.5179767515169
2016,"Georgia",58.8128981973588
2017,"Georgia",58.693120654643
2018,"Georgia",58.2527930338729
2019,"Georgia",57.7813090803672
2020,"Georgia",52.385063408249
2011,"Hawaii",24.7042864104858
2012,"Hawaii",25.08372758137
2013,"Hawaii",25.4638354365288
2014,"Hawaii",25.4962625769516
2015,"Hawaii",26.1044437598971
2016,"Hawaii",25.1268237809202
2017,"Hawaii",24.8783570034563
2018,"Hawaii",24.3375002023948
2019,"Hawaii",23.8979936039416
2020,"Hawaii",22.0608055809224
2011,"Idaho",92.7606254948785
2012,"Idaho",91.5647278232882
2013,"Idaho",91.5214349161609
2014,"Idaho",91.9178397321691
2015,"Idaho",91.3818107110271
2016,"Idaho",89.5325403709733
2017,"Idaho",90.1382864777689
2018,"Idaho",89.8916776117769
2019,"Idaho",89.2758237669027
2020,"Idaho",81.8508683480067
2011,"Illinois",72.5107405173833
2012,"Illinois",72.6753217703261
2013,"Illinois",72.7588555778992
2014,"Illinois",72.1637224410702
2015,"Illinois",71.9523452380813
2016,"Illinois",71.1951508330366
2017,"Illinois",71.1183615277054
2018,"Illinois",71.7303242739234
2019,"Illinois",71.3722992141382
2020,"Illinois",62.716683083605
2011,"Indiana",84.5968848483993
2012,"Indiana",84.2608317090728
2013,"Indiana",83.9916346340274
2014,"Indiana",84.0901156687543
2015,"Indiana",84.0215539119716
2016,"Indiana",83.506041637237
2017,"Indiana",83.7628085842451
2018,"Indiana",82.7740284565857
2019,"Indiana",82.8086549174945
2020,"Indiana",78.6918319394705
2011,"Iowa",91.6033620382528
2012,"Iowa",91.7745380403138
2013,"Iowa",91.367731722849
2014,"Iowa",91.2605089075886
2015,"Iowa",90.8518489234127
2016,"Iowa",90.2703390730767
2017,"Iowa",89.8724644444452
2018,"Iowa",90.3357101780812
2019,"Iowa",90.0424079338969
2020,"Iowa",85.2805213003334
2011,"Kansas",85.2426026682567
2012,"Kansas",85.4952952366762
2013,"Kansas",85.6482318154693
2014,"Kansas",84.8863696233602
2015,"Kansas",84.7466428725245
2016,"Kansas",84.6240604219257
2017,"Kansas",84.6343254301312
2018,"Kansas",83.8630470099708
2019,"Kansas",83.6552118995755
2020,"Kansas",77.7462548421377
