"State","Year","Overdose_Rate","AVG_AGE","bachelors_percent","median_income","PDMP","poverty_rate","unemp_rate","WHITE_PCT"
"Alabama",2000,1,35.991720627898,13.851833516297,55888,0,13.3,6.57555006870885,71.8459019983676
"Alabama",2001,1.5,36.2432223093567,13.1909110743721,53936,0,15.9,7.56273347262,71.329255258126
"Alabama",2002,1.7,36.5230042142034,14.1566524896567,56789,0,14.5,7.71139610940371,71.0448052855908
"Alabama",2003,1.2,36.6712341230516,14.5109300171522,55014,0,15,8.66721377163738,71.1073856570119
"Alabama",2004,2,36.8551948224047,14.9849396055189,52667,0,16.9,7.09303828145154,71.0659660455325
"Alabama",2005,1.8,37.1826875670936,14.6176267261681,51666,0,16.7,7.18962679534182,70.5159198080068
"Alabama",2006,2.9,37.255439951468,14.4573094761287,51124,1,14.3,6.88499443245716,70.3745572435927
"Alabama",2007,3.7,37.3813435220797,14.8118424728886,55294,1,14.5,6.18896400309943,70.3021769715576
"Alabama",2008,4.1,37.4756642141616,15.3023016366717,56105,1,14.3,7.27016812913691,70.0895557605268
"Alabama",2009,4.4,37.5708266471397,15.1792168892189,50609,1,16.6,11.0306940321357,70.0117951675916
"Alabama",2010,4.1,37.7311540472506,15.2117590168888,50975,1,17.2,11.6365261765966,69.3506235139379
"Alabama",2011,3.7,38.0360754485981,15.5871648267447,51417,1,15.4,11.2563283842109,69.1170040435252
"Alabama",2012,3.6,38.1367552581147,16.2862765275072,51384,1,16.2,9.96443961531142,69.0504586975218
"Alabama",2013,3.6,38.3566245638454,16.5050451805048,55126,1,16.7,9.65428468815313,69.0594121879578
"Alabama",2014,5.8,38.6857223103091,16.1479711723795,48432,1,17.8,8.54300202612696,68.4434722233392
"Alabama",2015,6,38.8032928316834,16.9096017908289,50900,1,16.3,7.21438013354272,68.6187365699667
"Alabama",2016,7.2,38.9851471223243,17.5159870869574,53314,1,16.2,6.40103227924349,68.1022145456789
"Alabama",2017,8.9,39.1763839231041,18.0442595277252,56219,1,15,5.88081926686781,67.8473159735264
"Alabama",2018,8,39.3727410154646,18.0177832025436,53879,1,16,5.56549465129034,67.71242530746
"Alabama",2019,8.7,39.602828365644,18.7427151943074,59558,1,12.9,4.84589456310739,67.7912622101756
