"Notes"	"State"	"State Code"	"Year"	"Year Code"	Deaths	Population	Crude Rate
	"Alabama"	"01"	"1999"	"1999"	13	4430141	Unreliable
	"Alabama"	"01"	"2000"	"2000"	13	4447100	Unreliable
	"Alabama"	"01"	"2002"	"2002"	11	4480089	Unreliable
	"Alabama"	"01"	"2004"	"2004"	13	4530729	Unreliable
	"Alabama"	"01"	"2005"	"2005"	13	4569805	Unreliable
	"Alabama"	"01"	"2006"	"2006"	27	4628981	0.583
	"Alabama"	"01"	"2007"	"2007"	25	4672840	0.535
	"Alabama"	"01"	"2008"	"2008"	25	4718206	0.530
	"Alabama"	"01"	"2009"	"2009"	43	4757938	0.904
	"Alabama"	"01"	"2010"	"2010"	44	4779736	0.921
	"Alabama"	"01"	"2011"	"2011"	35	4802740	0.729
	"Alabama"	"01"	"2012"	"2012"	53	4822023	1.099
	"Alabama"	"01"	"2013"	"2013"	70	4833722	1.448
	"Alabama"	"01"	"2014"	"2014"	162	4849377	3.341
	"Alabama"	"01"	"2015"	"2015"	173	4858979	3.560
	"Alabama"	"01"	"2016"	"2016"	241	4863300	4.955
	"Alabama"	"01"	"2017"	"2017"	286	4874747	5.867
	"Alabama"	"01"	"2018"	"2018"	261	4887871	5.340
	"Alabama"	"01"	"2019"	"2019"	302	4903185	6.159
	"Alabama"	"01"	"2020 "	"2020"	515	4921532	10.464
	"Alaska"	"02"	"2008"	"2008"	21	687455	3.055
	"Alaska"	"02"	"2009"	"2009"	29	698895	4.149
	"Alaska"	"02"	"2010"	"2010"	16	710231	Unreliable
	"Alaska"	"02"	"2011"	"2011"	17	722718	Unreliable
	"Alaska"	"02"	"2012"	"2012"	31	731449	4.238
	"Alaska"	"02"	"2013"	"2013"	35	735132	4.761
	"Alaska"	"02"	"2014"	"2014"	39	736732	5.294
	"Alaska"	"02"	"2015"	"2015"	53	738432	7.177
	"Alaska"	"02"	"2016"	"2016"	58	741894	7.818
	"Alaska"	"02"	"2017"	"2017"	66	739795	8.921
	"Alaska"	"02"	"2018"	"2018"	47	737438	6.373
	"Alaska"	"02"	"2019"	"2019"	71	731545	9.705
	"Alaska"	"02"	"2020 "	"2020"	97	731158	13.267
	"Arizona"	"04"	"1999"	"1999"	50	5023823	0.995
	"Arizona"	"04"	"2000"	"2000"	32	5130632	0.624
	"Arizona"	"04"	"2001"	"2001"	44	5273477	0.834
	"Arizona"	"04"	"2002"	"2002"	50	5396255	0.927
	"Arizona"	"04"	"2003"	"2003"	89	5510364	1.615
	"Arizona"	"04"	"2004"	"2004"	71	5652404	1.256
	"Arizona"	"04"	"2005"	"2005"	68	5839077	1.165
	"Arizona"	"04"	"2006"	"2006"	108	6029141	1.791
	"Arizona"	"04"	"2007"	"2007"	91	6167681	1.475
	"Arizona"	"04"	"2008"	"2008"	111	6280362	1.767
	"Arizona"	"04"	"2009"	"2009"	140	6343154	2.207
	"Arizona"	"04"	"2010"	"2010"	162	6392017	2.534
	"Arizona"	"04"	"2011"	"2011"	160	6482505	2.468
	"Arizona"	"04"	"2012"	"2012"	140	6553255	2.136
	"Arizona"	"04"	"2013"	"2013"	199	6626624	3.003
	"Arizona"	"04"	"2014"	"2014"	257	6731484	3.818
	"Arizona"	"04"	"2015"	"2015"	325	6828065	4.760
	"Arizona"	"04"	"2016"	"2016"	419	6931071	6.045
	"Arizona"	"04"	"2017"	"2017"	580	7016270	8.267
	"Arizona"	"04"	"2018"	"2018"	864	7171646	12.047
	"Arizona"	"04"	"2019"	"2019"	1047	7278717	14.384
	"Arizona"	"04"	"2020 "	"2020"	1684	7421401	22.691
	"Arkansas"	"05"	"2002"	"2002"	29	2705927	1.072
	"Arkansas"	"05"	"2003"	"2003"	27	2724816	0.991
	"Arkansas"	"05"	"2004"	"2004"	31	2749686	1.127
	"Arkansas"	"05"	"2005"	"2005"	28	2781097	1.007
	"Arkansas"	"05"	"2006"	"2006"	33	2821761	1.169
	"Arkansas"	"05"	"2007"	"2007"	29	2848650	1.018
	"Arkansas"	"05"	"2008"	"2008"	47	2874554	1.635
	"Arkansas"	"05"	"2009"	"2009"	66	2896843	2.278
	"Arkansas"	"05"	"2010"	"2010"	64	2915918	2.195
	"Arkansas"	"05"	"2011"	"2011"	36	2937979	1.225
	"Arkansas"	"05"	"2012"	"2012"	28	2949131	0.949
	"Arkansas"	"05"	"2013"	"2013"	35	2959373	1.183
	"Arkansas"	"05"	"2014"	"2014"	40	2966369	1.348
	"Arkansas"	"05"	"2015"	"2015"	54	2978204	1.813
	"Arkansas"	"05"	"2016"	"2016"	51	2988248	1.707
	"Arkansas"	"05"	"2017"	"2017"	82	3004279	2.729
	"Arkansas"	"05"	"2018"	"2018"	111	3013825	3.683
	"Arkansas"	"05"	"2019"	"2019"	132	3017804	4.374
	"Arkansas"	"05"	"2020 "	"2020"	212	3030522	6.995
	"California"	"06"	"1999"	"1999"	580	33499204	1.731
	"California"	"06"	"2000"	"2000"	419	33871648	1.237
	"California"	"06"	"2001"	"2001"	262	34479458	0.760
	"California"	"06"	"2002"	"2002"	509	34871843	1.460
	"California"	"06"	"2003"	"2003"	495	35253159	1.404
	"California"	"06"	"2004"	"2004"	459	35574576	1.290
	"California"	"06"	"2005"	"2005"	398	35827943	1.111
	"California"	"06"	"2006"	"2006"	458	36021202	1.271
	"California"	"06"	"2007"	"2007"	449	36250311	1.239
	"California"	"06"	"2008"	"2008"	498	36604337	1.360
	"California"	"06"	"2009"	"2009"	576	36961229	1.558
	"California"	"06"	"2010"	"2010"	543	37253956	1.458
	"California"	"06"	"2011"	"2011"	546	37691912	1.449
	"California"	"06"	"2012"	"2012"	523	38041430	1.375
	"California"	"06"	"2013"	"2013"	678	38332521	1.769
	"California"	"06"	"2014"	"2014"	773	38802500	1.992
	"California"	"06"	"2015"	"2015"	824	39144818	2.105
	"California"	"06"	"2016"	"2016"	947	39250017	2.413
	"California"	"06"	"2017"	"2017"	1215	39536653	3.073
	"California"	"06"	"2018"	"2018"	1578	39557045	3.989
	"California"	"06"	"2019"	"2019"	2486	39512223	6.292
	"California"	"06"	"2020 "	"2020"	4784	39368078	12.152
	"Colorado"	"08"	"1999"	"1999"	66	4226018	1.562
	"Colorado"	"08"	"2000"	"2000"	63	4301261	1.465
	"Colorado"	"08"	"2001"	"2001"	43	4425687	0.972
	"Colorado"	"08"	"2002"	"2002"	59	4490406	1.314
	"Colorado"	"08"	"2003"	"2003"	45	4528732	0.994
	"Colorado"	"08"	"2004"	"2004"	46	4575013	1.005
	"Colorado"	"08"	"2005"	"2005"	78	4631888	1.684
	"Colorado"	"08"	"2006"	"2006"	67	4720423	1.419
	"Colorado"	"08"	"2007"	"2007"	84	4803868	1.749
	"Colorado"	"08"	"2008"	"2008"	87	4889730	1.779
	"Colorado"	"08"	"2009"	"2009"	143	4972195	2.876
	"Colorado"	"08"	"2010"	"2010"	105	5029196	2.088
	"Colorado"	"08"	"2011"	"2011"	159	5116796	3.107
	"Colorado"	"08"	"2012"	"2012"	141	5187582	2.718
	"Colorado"	"08"	"2013"	"2013"	189	5268367	3.587
	"Colorado"	"08"	"2014"	"2014"	243	5355866	4.537
	"Colorado"	"08"	"2015"	"2015"	227	5456574	4.160
	"Colorado"	"08"	"2016"	"2016"	309	5540545	5.577
	"Colorado"	"08"	"2017"	"2017"	332	5607154	5.921
	"Colorado"	"08"	"2018"	"2018"	366	5695564	6.426
	"Colorado"	"08"	"2019"	"2019"	464	5758736	8.057
	"Colorado"	"08"	"2020 "	"2020"	798	5807719	13.740
	"Connecticut"	"09"	"1999"	"1999"	106	3386401	3.130
	"Connecticut"	"09"	"2000"	"2000"	115	3405565	3.377
	"Connecticut"	"09"	"2001"	"2001"	105	3432835	3.059
	"Connecticut"	"09"	"2002"	"2002"	98	3458749	2.833
	"Connecticut"	"09"	"2003"	"2003"	115	3484336	3.300
	"Connecticut"	"09"	"2004"	"2004"	104	3496094	2.975
	"Connecticut"	"09"	"2005"	"2005"	92	3506956	2.623
	"Connecticut"	"09"	"2006"	"2006"	105	3517460	2.985
	"Connecticut"	"09"	"2007"	"2007"	141	3527270	3.997
	"Connecticut"	"09"	"2008"	"2008"	125	3545579	3.526
	"Connecticut"	"09"	"2009"	"2009"	120	3561807	3.369
	"Connecticut"	"09"	"2010"	"2010"	99	3574097	2.770
	"Connecticut"	"09"	"2011"	"2011"	101	3580709	2.821
	"Connecticut"	"09"	"2012"	"2012"	112	3590347	3.119
	"Connecticut"	"09"	"2013"	"2013"	269	3596080	7.480
	"Connecticut"	"09"	"2014"	"2014"	361	3596677	10.037
	"Connecticut"	"09"	"2015"	"2015"	503	3590886	14.008
	"Connecticut"	"09"	"2016"	"2016"	707	3576452	19.768
	"Connecticut"	"09"	"2017"	"2017"	816	3588184	22.741
	"Connecticut"	"09"	"2018"	"2018"	845	3572665	23.652
	"Connecticut"	"09"	"2019"	"2019"	1004	3565287	28.160
	"Connecticut"	"09"	"2020 "	"2020"	1169	3557006	32.865
	"Delaware"	"10"	"1999"	"1999"	15	774990	Unreliable
	"Delaware"	"10"	"2000"	"2000"	14	783600	Unreliable
	"Delaware"	"10"	"2001"	"2001"	12	795699	Unreliable
	"Delaware"	"10"	"2002"	"2002"	19	806169	Unreliable
	"Delaware"	"10"	"2003"	"2003"	16	818003	Unreliable
	"Delaware"	"10"	"2004"	"2004"	12	830803	Unreliable
	"Delaware"	"10"	"2005"	"2005"	11	845150	Unreliable
