"Notes"	"State"	"State Code"	"Year"	"Year Code"	Deaths	Population	Crude Rate
	"Alabama"	"01"	"1999"	"1999"	16	4430141	Unreliable
	"Alabama"	"01"	"2000"	"2000"	13	4447100	Unreliable
	"Alabama"	"01"	"2001"	"2001"	31	4467634	0.694
	"Alabama"	"01"	"2002"	"2002"	36	4480089	0.804
	"Alabama"	"01"	"2003"	"2003"	28	4503491	0.622
	"Alabama"	"01"	"2004"	"2004"	51	4530729	1.126
	"Alabama"	"01"	"2005"	"2005"	49	4569805	1.072
	"Alabama"	"01"	"2006"	"2006"	69	4628981	1.491
	"Alabama"	"01"	"2007"	"2007"	90	4672840	1.926
	"Alabama"	"01"	"2008"	"2008"	106	4718206	2.247
	"Alabama"	"01"	"2009"	"2009"	89	4757938	1.871
	"Alabama"	"01"	"2010"	"2010"	79	4779736	1.653
	"Alabama"	"01"	"2011"	"2011"	64	4802740	1.333
	"Alabama"	"01"	"2012"	"2012"	57	4822023	1.182
	"Alabama"	"01"	"2013"	"2013"	44	4833722	0.910
	"Alabama"	"01"	"2014"	"2014"	46	4849377	0.949
	"Alabama"	"01"	"2015"	"2015"	43	4858979	0.885
	"Alabama"	"01"	"2016"	"2016"	35	4863300	0.720
	"Alabama"	"01"	"2017"	"2017"	33	4874747	0.677
	"Alabama"	"01"	"2018"	"2018"	35	4887871	0.716
	"Alabama"	"01"	"2019"	"2019"	33	4903185	0.673
	"Alabama"	"01"	"2020 "	"2020"	27	4921532	0.549
	"Alaska"	"02"	"2006"	"2006"	11	675302	Unreliable
	"Alaska"	"02"	"2008"	"2008"	30	687455	4.364
	"Alaska"	"02"	"2009"	"2009"	21	698895	3.005
	"Alaska"	"02"	"2010"	"2010"	28	710231	3.942
	"Alaska"	"02"	"2011"	"2011"	18	722718	Unreliable
	"Alaska"	"02"	"2012"	"2012"	10	731449	Unreliable
	"Alaska"	"02"	"2014"	"2014"	12	736732	Unreliable
	"Alaska"	"02"	"2015"	"2015"	10	738432	Unreliable
	"Alaska"	"02"	"2016"	"2016"	17	741894	Unreliable
	"Alaska"	"02"	"2018"	"2018"	13	737438	Unreliable
	"Alaska"	"02"	"2019"	"2019"	14	731545	Unreliable
	"Arizona"	"04"	"1999"	"1999"	22	5023823	0.438
	"Arizona"	"04"	"2000"	"2000"	18	5130632	Unreliable
	"Arizona"	"04"	"2001"	"2001"	29	5273477	0.550
	"Arizona"	"04"	"2002"	"2002"	61	5396255	1.130
	"Arizona"	"04"	"2003"	"2003"	71	5510364	1.288
	"Arizona"	"04"	"2004"	"2004"	70	5652404	1.238
	"Arizona"	"04"	"2005"	"2005"	91	5839077	1.558
	"Arizona"	"04"	"2006"	"2006"	94	6029141	1.559
	"Arizona"	"04"	"2007"	"2007"	88	6167681	1.427
	"Arizona"	"04"	"2008"	"2008"	93	6280362	1.481
	"Arizona"	"04"	"2009"	"2009"	109	6343154	1.718
	"Arizona"	"04"	"2010"	"2010"	109	6392017	1.705
	"Arizona"	"04"	"2011"	"2011"	59	6482505	0.910
	"Arizona"	"04"	"2012"	"2012"	53	6553255	0.809
