"Notes"	"State"	"State Code"	"Year"	"Year Code"	Deaths	Population	Crude Rate
	"Alabama"	"01"	"1999"	"1999"	39	4430141	0.880
	"Alabama"	"01"	"2000"	"2000"	46	4447100	1.034
	"Alabama"	"01"	"2001"	"2001"	67	4467634	1.500
	"Alabama"	"01"	"2002"	"2002"	75	4480089	1.674
	"Alabama"	"01"	"2003"	"2003"	54	4503491	1.199
	"Alabama"	"01"	"2004"	"2004"	92	4530729	2.031
	"Alabama"	"01"	"2005"	"2005"	83	4569805	1.816
	"Alabama"	"01"	"2006"	"2006"	134	4628981	2.895
	"Alabama"	"01"	"2007"	"2007"	172	4672840	3.681
	"Alabama"	"01"	"2008"	"2008"	195	4718206	4.133
	"Alabama"	"01"	"2009"	"2009"	210	4757938	4.414
	"Alabama"	"01"	"2010"	"2010"	194	4779736	4.059
	"Alabama"	"01"	"2011"	"2011"	180	4802740	3.748
	"Alabama"	"01"	"2012"	"2012"	175	4822023	3.629
	"Alabama"	"01"	"2013"	"2013"	175	4833722	3.620
	"Alabama"	"01"	"2014"	"2014"	282	4849377	5.815
	"Alabama"	"01"	"2015"	"2015"	292	4858979	6.009
	"Alabama"	"01"	"2016"	"2016"	351	4863300	7.217
	"Alabama"	"01"	"2017"	"2017"	434	4874747	8.903
	"Alabama"	"01"	"2018"	"2018"	392	4887871	8.020
	"Alabama"	"01"	"2019"	"2019"	427	4903185	8.709
	"Alabama"	"01"	"2020 "	"2020"	629	4921532	12.781
	"Alaska"	"02"	"1999"	"1999"	28	624779	4.482
	"Alaska"	"02"	"2000"	"2000"	27	626932	4.307
	"Alaska"	"02"	"2001"	"2001"	17	633714	Unreliable
	"Alaska"	"02"	"2003"	"2003"	14	648414	Unreliable
	"Alaska"	"02"	"2004"	"2004"	11	659286	Unreliable
	"Alaska"	"02"	"2005"	"2005"	19	666946	Unreliable
	"Alaska"	"02"	"2006"	"2006"	29	675302	4.294
	"Alaska"	"02"	"2007"	"2007"	16	680300	Unreliable
	"Alaska"	"02"	"2008"	"2008"	94	687455	13.674
	"Alaska"	"02"	"2009"	"2009"	94	698895	13.450
	"Alaska"	"02"	"2010"	"2010"	71	710231	9.997
	"Alaska"	"02"	"2011"	"2011"	72	722718	9.962
	"Alaska"	"02"	"2012"	"2012"	81	731449	11.074
	"Alaska"	"02"	"2013"	"2013"	69	735132	9.386
	"Alaska"	"02"	"2014"	"2014"	79	736732	10.723
	"Alaska"	"02"	"2015"	"2015"	92	738432	12.459
	"Alaska"	"02"	"2016"	"2016"	101	741894	13.614
	"Alaska"	"02"	"2017"	"2017"	109	739795	14.734
	"Alaska"	"02"	"2018"	"2018"	82	737438	11.120
	"Alaska"	"02"	"2019"	"2019"	100	731545	13.670
	"Alaska"	"02"	"2020 "	"2020"	123	731158	16.823
	"Arizona"	"04"	"1999"	"1999"	250	5023823	4.976
	"Arizona"	"04"	"2000"	"2000"	249	5130632	4.853
	"Arizona"	"04"	"2001"	"2001"	275	5273477	5.215
	"Arizona"	"04"	"2002"	"2002"	340	5396255	6.301
	"Arizona"	"04"	"2003"	"2003"	350	5510364	6.352
	"Arizona"	"04"	"2004"	"2004"	360	5652404	6.369
	"Arizona"	"04"	"2005"	"2005"	393	5839077	6.731
	"Arizona"	"04"	"2006"	"2006"	479	6029141	7.945
	"Arizona"	"04"	"2007"	"2007"	490	6167681	7.945
	"Arizona"	"04"	"2008"	"2008"	515	6280362	8.200
	"Arizona"	"04"	"2009"	"2009"	625	6343154	9.853
	"Arizona"	"04"	"2010"	"2010"	650	6392017	10.169
	"Arizona"	"04"	"2011"	"2011"	596	6482505	9.194
	"Arizona"	"04"	"2012"	"2012"	565	6553255	8.622
	"Arizona"	"04"	"2013"	"2013"	545	6626624	8.224
	"Arizona"	"04"	"2014"	"2014"	616	6731484	9.151
	"Arizona"	"04"	"2015"	"2015"	701	6828065	10.266
	"Arizona"	"04"	"2016"	"2016"	806	6931071	11.629
	"Arizona"	"04"	"2017"	"2017"	969	7016270	13.811
	"Arizona"	"04"	"2018"	"2018"	1159	7171646	16.161
	"Arizona"	"04"	"2019"	"2019"	1324	7278717	18.190
	"Arizona"	"04"	"2020 "	"2020"	1952	7421401	26.302
	"Arkansas"	"05"	"1999"	"1999"	29	2651860	1.094
	"Arkansas"	"05"	"2000"	"2000"	20	2673400	0.748
	"Arkansas"	"05"	"2001"	"2001"	30	2691571	1.115
	"Arkansas"	"05"	"2002"	"2002"	96	2705927	3.548
	"Arkansas"	"05"	"2003"	"2003"	98	2724816	3.597
	"Arkansas"	"05"	"2004"	"2004"	133	2749686	4.837
	"Arkansas"	"05"	"2005"	"2005"	127	2781097	4.567
	"Arkansas"	"05"	"2006"	"2006"	149	2821761	5.280
	"Arkansas"	"05"	"2007"	"2007"	156	2848650	5.476
	"Arkansas"	"05"	"2008"	"2008"	210	2874554	7.305
	"Arkansas"	"05"	"2009"	"2009"	221	2896843	7.629
	"Arkansas"	"05"	"2010"	"2010"	198	2915918	6.790
	"Arkansas"	"05"	"2011"	"2011"	176	2937979	5.991
	"Arkansas"	"05"	"2012"	"2012"	181	2949131	6.137
	"Arkansas"	"05"	"2013"	"2013"	175	2959373	5.913
	"Arkansas"	"05"	"2014"	"2014"	179	2966369	6.034
	"Arkansas"	"05"	"2015"	"2015"	208	2978204	6.984
	"Arkansas"	"05"	"2016"	"2016"	175	2988248	5.856
	"Arkansas"	"05"	"2017"	"2017"	200	3004279	6.657
	"Arkansas"	"05"	"2018"	"2018"	217	3013825	7.200
	"Arkansas"	"05"	"2019"	"2019"	208	3017804	6.892
	"Arkansas"	"05"	"2020 "	"2020"	292	3030522	9.635
	"California"	"06"	"1999"	"1999"	1598	33499204	4.770
	"California"	"06"	"2000"	"2000"	1105	33871648	3.262
	"California"	"06"	"2001"	"2001"	605	34479458	1.755
	"California"	"06"	"2002"	"2002"	1583	34871843	4.539
	"California"	"06"	"2003"	"2003"	1530	35253159	4.340
	"California"	"06"	"2004"	"2004"	1547	35574576	4.349
	"California"	"06"	"2005"	"2005"	1485	35827943	4.145
	"California"	"06"	"2006"	"2006"	1602	36021202	4.447
	"California"	"06"	"2007"	"2007"	1762	36250311	4.861
	"California"	"06"	"2008"	"2008"	1889	36604337	5.161
	"California"	"06"	"2009"	"2009"	2128	36961229	5.757
	"California"	"06"	"2010"	"2010"	2059	37253956	5.527
	"California"	"06"	"2011"	"2011"	2057	37691912	5.457
	"California"	"06"	"2012"	"2012"	1847	38041430	4.855
	"California"	"06"	"2013"	"2013"	2088	38332521	5.447
	"California"	"06"	"2014"	"2014"	2159	38802500	5.564
	"California"	"06"	"2015"	"2015"	2130	39144818	5.441
	"California"	"06"	"2016"	"2016"	2146	39250017	5.468
	"California"	"06"	"2017"	"2017"	2341	39536653	5.921
