"Notes"	"State"	"State Code"	"Year"	"Year Code"	Deaths	Population	Crude Rate
	"Alabama"	"01"	"1999"	"1999"	14	4430141	Unreliable
	"Alabama"	"01"	"2000"	"2000"	28	4447100	0.630
	"Alabama"	"01"	"2001"	"2001"	33	4467634	0.739
	"Alabama"	"01"	"2002"	"2002"	38	4480089	0.848
	"Alabama"	"01"	"2003"	"2003"	28	4503491	0.622
	"Alabama"	"01"	"2004"	"2004"	46	4530729	1.015
	"Alabama"	"01"	"2005"	"2005"	30	4569805	0.656
	"Alabama"	"01"	"2006"	"2006"	58	4628981	1.253
	"Alabama"	"01"	"2007"	"2007"	76	4672840	1.626
	"Alabama"	"01"	"2008"	"2008"	84	4718206	1.780
	"Alabama"	"01"	"2009"	"2009"	99	4757938	2.081
	"Alabama"	"01"	"2010"	"2010"	98	4779736	2.050
	"Alabama"	"01"	"2011"	"2011"	106	4802740	2.207
	"Alabama"	"01"	"2012"	"2012"	81	4822023	1.680
	"Alabama"	"01"	"2013"	"2013"	85	4833722	1.758
	"Alabama"	"01"	"2014"	"2014"	108	4849377	2.227
	"Alabama"	"01"	"2015"	"2015"	112	4858979	2.305
	"Alabama"	"01"	"2016"	"2016"	111	4863300	2.282
	"Alabama"	"01"	"2017"	"2017"	165	4874747	3.385
	"Alabama"	"01"	"2018"	"2018"	142	4887871	2.905
	"Alabama"	"01"	"2019"	"2019"	152	4903185	3.100
	"Alabama"	"01"	"2020 "	"2020"	147	4921532	2.987
	"Alaska"	"02"	"1999"	"1999"	19	624779	Unreliable
	"Alaska"	"02"	"2000"	"2000"	23	626932	3.669
	"Alaska"	"02"	"2001"	"2001"	14	633714	Unreliable
	"Alaska"	"02"	"2003"	"2003"	13	648414	Unreliable
	"Alaska"	"02"	"2005"	"2005"	10	666946	Unreliable
	"Alaska"	"02"	"2006"	"2006"	19	675302	Unreliable
	"Alaska"	"02"	"2007"	"2007"	10	680300	Unreliable
	"Alaska"	"02"	"2008"	"2008"	59	687455	8.582
	"Alaska"	"02"	"2009"	"2009"	69	698895	9.873
	"Alaska"	"02"	"2010"	"2010"	45	710231	6.336
	"Alaska"	"02"	"2011"	"2011"	44	722718	6.088
	"Alaska"	"02"	"2012"	"2012"	50	731449	6.836
	"Alaska"	"02"	"2013"	"2013"	47	735132	6.393
	"Alaska"	"02"	"2014"	"2014"	53	736732	7.194
	"Alaska"	"02"	"2015"	"2015"	59	738432	7.990
	"Alaska"	"02"	"2016"	"2016"	66	741894	8.896
	"Alaska"	"02"	"2017"	"2017"	74	739795	10.003
	"Alaska"	"02"	"2018"	"2018"	56	737438	7.594
	"Alaska"	"02"	"2019"	"2019"	59	731545	8.065
	"Alaska"	"02"	"2020 "	"2020"	56	731158	7.659
	"Arizona"	"04"	"1999"	"1999"	189	5023823	3.762
	"Arizona"	"04"	"2000"	"2000"	211	5130632	4.113
	"Arizona"	"04"	"2001"	"2001"	211	5273477	4.001
	"Arizona"	"04"	"2002"	"2002"	250	5396255	4.633
	"Arizona"	"04"	"2003"	"2003"	207	5510364	3.757
	"Arizona"	"04"	"2004"	"2004"	243	5652404	4.299
	"Arizona"	"04"	"2005"	"2005"	261	5839077	4.470
	"Arizona"	"04"	"2006"	"2006"	312	6029141	5.175
	"Arizona"	"04"	"2007"	"2007"	348	6167681	5.642
	"Arizona"	"04"	"2008"	"2008"	347	6280362	5.525
	"Arizona"	"04"	"2009"	"2009"	432	6343154	6.810
	"Arizona"	"04"	"2010"	"2010"	448	6392017	7.009
	"Arizona"	"04"	"2011"	"2011"	417	6482505	6.433
	"Arizona"	"04"	"2012"	"2012"	406	6553255	6.195
	"Arizona"	"04"	"2013"	"2013"	312	6626624	4.708
	"Arizona"	"04"	"2014"	"2014"	345	6731484	5.125
	"Arizona"	"04"	"2015"	"2015"	365	6828065	5.346
	"Arizona"	"04"	"2016"	"2016"	399	6931071	5.757
	"Arizona"	"04"	"2017"	"2017"	431	7016270	6.143
	"Arizona"	"04"	"2018"	"2018"	371	7171646	5.173
	"Arizona"	"04"	"2019"	"2019"	358	7278717	4.918
	"Arizona"	"04"	"2020 "	"2020"	376	7421401	5.066
	"Arkansas"	"05"	"1999"	"1999"	11	2651860	Unreliable
	"Arkansas"	"05"	"2000"	"2000"	10	2673400	Unreliable
