"Notes"	"State"	"State Code"	"Year"	"Year Code"	Deaths	Population	Crude Rate
	"Alabama"	"01"	"1999"	"1999"	11	4430141	Unreliable
	"Alabama"	"01"	"2000"	"2000"	13	4447100	Unreliable
	"Alabama"	"01"	"2004"	"2004"	13	4530729	Unreliable
	"Alabama"	"01"	"2005"	"2005"	12	4569805	Unreliable
	"Alabama"	"01"	"2006"	"2006"	25	4628981	0.540
	"Alabama"	"01"	"2007"	"2007"	21	4672840	0.449
	"Alabama"	"01"	"2008"	"2008"	19	4718206	Unreliable
	"Alabama"	"01"	"2009"	"2009"	31	4757938	0.652
	"Alabama"	"01"	"2010"	"2010"	37	4779736	0.774
	"Alabama"	"01"	"2011"	"2011"	21	4802740	0.437
	"Alabama"	"01"	"2012"	"2012"	17	4822023	Unreliable
	"Alabama"	"01"	"2013"	"2013"	31	4833722	0.641
	"Alabama"	"01"	"2014"	"2014"	50	4849377	1.031
	"Alabama"	"01"	"2015"	"2015"	73	4858979	1.502
	"Alabama"	"01"	"2016"	"2016"	158	4863300	3.249
	"Alabama"	"01"	"2017"	"2017"	203	4874747	4.164
	"Alabama"	"01"	"2018"	"2018"	150	4887871	3.069
	"Alabama"	"01"	"2019"	"2019"	215	4903185	4.385
	"Alabama"	"01"	"2020 "	"2020"	450	4921532	9.143
	"Alaska"	"02"	"2008"	"2008"	14	687455	Unreliable
	"Alaska"	"02"	"2009"	"2009"	22	698895	3.148
	"Alaska"	"02"	"2010"	"2010"	11	710231	Unreliable
	"Alaska"	"02"	"2013"	"2013"	12	735132	Unreliable
	"Alaska"	"02"	"2014"	"2014"	14	736732	Unreliable
	"Alaska"	"02"	"2015"	"2015"	15	738432	Unreliable
	"Alaska"	"02"	"2016"	"2016"	10	741894	Unreliable
	"Alaska"	"02"	"2017"	"2017"	38	739795	5.137
	"Alaska"	"02"	"2018"	"2018"	21	737438	2.848
	"Alaska"	"02"	"2019"	"2019"	30	731545	4.101
	"Alaska"	"02"	"2020 "	"2020"	72	731158	9.847
	"Arizona"	"04"	"1999"	"1999"	23	5023823	0.458
	"Arizona"	"04"	"2000"	"2000"	17	5130632	Unreliable
